Subject,Area_tematica,Tema,Habilidad
CB,Herencia y evolucion,Aplicaciones de la manipulacion genetica,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Herencia y evolucion,Division celular (mitosis y meiosis),"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Herencia y evolucion,Evidencias de la evolucion biologica y teorias evolutivas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Organismo y ambiente,Cadenas troficas y flujo de materia y energia en los ecosistemas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Organismo y ambiente,Fotosintesis y respiracion celular,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,"Organizacion, estructura y actividad celular",Intercambio de sustancias celula/ambiente,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,"Organizacion, estructura y actividad celular",Organelos y estructuras celulares en procariontes y eucariontes,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,"Organizacion, estructura y actividad celular",Relacion estructura-funcion en distintos tipos celulares,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Procesos y funciones biologicas,Infecciones de transmision sexual (ITS),"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Procesos y funciones biologicas,Nutricion y biomoleculas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Procesos y funciones biologicas,Reproduccion humana y control de la natalidad,"""Resolver problemas, Modelar, Representar, Argumentar"""
CB,Procesos y funciones biologicas,Sistema inmunologico y enfermedades inmunologicas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Electricidad,Electrizacion y conductores/aislantes,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Electricidad,Generacion de electricidad y eficiencia energetica,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Electricidad,Ley de Ohm y circuitos electricos,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Energia,Cambios de fase y transferencia de calor,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Energia,Modelos termicos y tectonica de placas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Energia,Temperatura y escalas termometricas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Mecanica,"Fuerza de roce y presion sobre solidos, liquidos y gases","""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Mecanica,Leyes de Newton y diagramas de cuerpo libre,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Ondas,Dispositivos tecnologicos que operan con ondas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Ondas,Espectro electromagnetico y formacion de colores,"""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Ondas,"Interacciones como absorcion, reflexion y refraccion","""Resolver problemas, Modelar, Representar, Argumentar"""
CF,Ondas,Ondas electromagneticas y su propagacion,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Estructura atomica,Configuracion electronica y tabla periodica,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Estructura atomica,"Modelos atomicos de Dalton, Thomson, Rutherford y Bohr","""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Estructura atomica,"Tipos de enlaces quimicos (ionico, covalente y metalico)","""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Quimica organica,Hidrocarburos y grupos funcionales,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Quimica organica,Propiedades del carbono y enlaces quimicos,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Quimica organica,Representacion de moleculas organicas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Reacciones quimicas y estequiometria,Balance de ecuaciones quimicas,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Reacciones quimicas y estequiometria,Relaciones estequiometricas y reactivo limitante,"""Resolver problemas, Modelar, Representar, Argumentar"""
CQ,Reacciones quimicas y estequiometria,Solubilidad y unidades de concentracion,"""Resolver problemas, Modelar, Representar, Argumentar"""
H,Formacion Ciudadana,Sociedad democratica - Fundamentos y atributos de la democracia,"“Evaluar, Interpretar, Localizar”"
